"entityId","entityIdLoweredCased","entityType","title","publisher","publisherId","builtFor","iconBackgroundColor","actionString","ctaTypes","primaryProduct","products","trials","pricingModel","ratings","appCompliance","showcaseLink","leadgenEnabled","filtermatch","detailInformation","detailLoadFailed","startingPrice","awards","universalAmendmentUrl","CertificationState","CertificationLink","tags","locale","AverageRating","NumberOfRatings","planPricingType","linkedAddIns","linkedSaaS","hideFromAdminPortal","offerType","popularity","ratingSummary","ratingSummaries","licenseManagement","bigId","downloadLink","downloadSampleLink","hasPrices","industriesDetails","categoriesDetails","productType","badges","category_mask_4","isCloudIndustry","iconURL","shortDescription","handoffURL","licenseTermsUrl","isSolutionMap"
"WA104381299","wa104381299","1","Power KPI Matrix","Microsoft Corporation","powerbivisuals","Power BI visuals",,"CTA_Get","System.Object[]","@{product_mask_2=524288}","@{product_mask_2=524288}","0","1","14","0",,"False","True",,"False",,,,"None",,"System.Object[]",,"3.71","138","3","System.Object[]",,"False","11","0.997","@{TotalRatings=138; AverageRating=3.71; StarsDistribution=; Source=AppSource; OfferId=WA104381299; CreatedAt=4/19/2021 12:08:05 PM}","System.Object[]","@{isMicrosoftManaged=False; isFreemium=False}","DZH318Z09N49","https://customvisualspackages.powerbi.com/publishedpackages/powerKPIMatrixEB2381CC88A8425FBEB1B07FF57784E6.3.1.1.0.pbiviz","https://customvisualspackages.powerbi.com/publishedpackages/powerKPIMatrixEB2381CC88A8425FBEB1B07FF57784E6.3.1.1.0.pbix","False","System.Object[]","System.Object[]","524288","System.Object[]","4194304","False","https://store-images.s-microsoft.com/image/apps.14149.f96a70cf-ffd9-44ea-b3ba-956435586cc9.7159a320-54e1-43a8-80a0-d12e5dce48da.6675dba2-5d93-4b9d-9a08-c79a37f90df4","Monitor balanced scorecards and unlimited number of metrics and KPIs in a compact, easy to read list",,"https://go.microsoft.com/fwlink/?linkid=2300138","False"
"insiderscoop1611244107840.powerbi_customviz_mass-filter","insiderscoop1611244107840.powerbi_customviz_mass-filter","1","Mass Filter","Insiders.coop","insiderscoop1611244107840","Power BI visuals",,"CTA_Get","System.Object[]","@{product_mask_2=524288}","@{product_mask_2=524288}","0","1","14","0",,"True","True",,"False",,,,"None",,"System.Object[]",,"3.633","30","3","System.Object[]",,"False","11","0.997","@{TotalRatings=30; AverageRating=3.633; StarsDistribution=; Source=AppSource; OfferId=insiderscoop1611244107840.powerbi_customviz_mass-filter; CreatedAt=5/17/2022 4:31:53 PM}","System.Object[]","@{isMicrosoftManaged=False; isFreemium=False}","DZH318Z0H9QV","https://customvisualspackages.powerbi.com/publishedpackages/massFilter2E7137AC1174403C8CF3456F3EB0B7D7.3.0.0.1.pbiviz","https://customvisualspackages.powerbi.com/publishedpackages/massFilter2E7137AC1174403C8CF3456F3EB0B7D7.3.0.0.1.pbix","False","System.Object[]","System.Object[]","524288","System.Object[]","1048576","False","https://store-images.s-microsoft.com/image/apps.14257.1ec6b276-76e8-4902-86b4-f0d4c7a5592d.3b9c95cc-5f89-49d1-ae62-41f6e4248bc9.668b8aea-51bd-4df9-8048-aa9ff1f56a70","Filter your Power BI reports instantly with a list of keywords and a copy/paste.",,"https://go.microsoft.com/fwlink/?linkid=2041178","False"
"WA104380771","wa104380771","1","Radar Chart","Microsoft Corporation","powerbivisuals","Power BI visuals",,"CTA_Get","System.Object[]","@{product_mask_2=524288}","@{product_mask_2=524288}","0","1","14","0",,"False","True",,"False",,,,"None",,"System.Object[]",,"3.5","134","3","System.Object[]",,"False","11","0.997","@{TotalRatings=134; AverageRating=3.5; StarsDistribution=; Source=AppSource; OfferId=WA104380771; CreatedAt=4/13/2021 2:41:00 PM}","System.Object[]","@{isMicrosoftManaged=False; isFreemium=False}","DZH318Z09N4Q","https://customvisualspackages.powerbi.com/publishedpackages/RadarChart1446119667547.3.1.3.0.pbiviz","https://customvisualspackages.powerbi.com/publishedpackages/RadarChart1446119667547.3.1.3.0.pbix","False","System.Object[]","System.Object[]","524288","System.Object[]","33554432","False","https://store-images.s-microsoft.com/image/apps.1364.6af55b2e-0332-4387-9320-76ae77199a58.fece56f1-e2e2-4971-af7c-22b16f9eee2c.ac5ce090-b16e-477f-97bd-0c91c0d450a4","Multiple measures plotted over a categorical axis. Useful to compare attributes",,"https://go.microsoft.com/fwlink/?linkid=2300138","False"
"truvizinc1674781244292.date-picker-by-powerviz","truvizinc1674781244292.date-picker-by-powerviz","1","Date Picker","TRUVIZ INC","truvizinc1674781244292","Power BI visuals",,"CTA_Get","System.Object[]","@{product_mask_2=524288}","@{product_mask_2=524288}","0","3","15","0",,"True","True",,"False",,,,"None",,"System.Object[]",,"4.667","6","3","System.Object[]",,"False","11","0.996","@{TotalRatings=6; AverageRating=4.667; StarsDistribution=; Source=AppSource; OfferId=truvizinc1674781244292.date-picker-by-powerviz; CreatedAt=8/19/2023 6:21:26 PM}","System.Object[]","@{isMicrosoftManaged=True; isFreemium=True}","DZH318Z0F9QJ","https://customvisualspackages.powerbi.com/publishedpackages/Datepicker_1687358625.1.0.0.6.pbiviz","https://customvisualspackages.powerbi.com/publishedpackages/Datepicker_1687358625.1.0.0.6.pbix","True","System.Object[]","System.Object[]","524288","System.Object[]","34603008","False","https://store-images.s-microsoft.com/image/apps.571.03505070-6fd8-4b01-ad94-c1710e29bab8.1299f45e-a227-4f80-bc0d-90cfece4f9fa.4c2f856d-30f9-4aed-bb74-f7516bacea2a","Most advanced Date Slicer with default selection, presets, calendar view, themes and customizations",,"https://go.microsoft.com/fwlink/?linkid=2041178","False"
"WA200001930","wa200001930","1","HTML Content","Daniel Marsh-Patrick","danielmarsh-patrick390247122","Power BI visuals",,"CTA_Get","System.Object[]","@{product_mask_2=524288}","@{product_mask_2=524288}","0","1","15","0",,"False","True",,"False",,,,"None",,,,"4.625","32","3","System.Object[]",,"False","11","0.996","@{TotalRatings=32; AverageRating=4.625; StarsDistribution=; Source=AppSource; OfferId=WA200001930; CreatedAt=4/22/2021 5:43:00 PM}","System.Object[]","@{isMicrosoftManaged=False; isFreemium=False}","DZH318Z0B0XT","https://customvisualspackages.powerbi.com/publishedpackages/htmlContent443BE3AD55E043BF878BED274D3A6855.1.5.0.0.pbiviz","https://customvisualspackages.powerbi.com/publishedpackages/htmlContent443BE3AD55E043BF878BED274D3A6855.1.5.0.0.pbix","False","System.Object[]","System.Object[]","524288","System.Object[]","2097152","False","https://store-images.s-microsoft.com/image/apps.3716.6dc8520a-2d39-4255-9ae7-097b286560fb.ac0a4363-de78-41f3-8632-e32cfa6e7121.3edeb639-5830-4dad-856c-6fe9f95b0852","Visualise column or measure values as HTML in your Power BI reports.",,"https://go.microsoft.com/fwlink/?linkid=2041178","False"
"xviz.performanceflow-xviz","xviz.performanceflow-xviz","1","Performance Flow - xViz","xViz LLC dba Lumel","xviz","Power BI visuals",,"CTA_Get","System.Object[]","@{product_mask_2=524288}","@{product_mask_2=524288}","0","3","15","0",,"True","True",,"False",,,,"None",,"System.Object[]",,"4.5","16","3","System.Object[]",,"False","11","0.996","@{TotalRatings=16; AverageRating=4.5; StarsDistribution=; Source=AppSource; OfferId=xviz.performanceflow-xviz; CreatedAt=7/19/2023 2:03:51 PM}","System.Object[]","@{isMicrosoftManaged=True; isFreemium=True}","DZH318Z0F7QH","https://customvisualspackages.powerbi.com/publishedpackages/BusinessFlowF39DAE8D57A743EF89F5C3809DEE2B67.2.0.0.0.pbiviz","https://customvisualspackages.powerbi.com/publishedpackages/BusinessFlowF39DAE8D57A743EF89F5C3809DEE2B67.2.0.0.0.pbix","True","System.Object[]","System.Object[]","524288","System.Object[]","4718592","False","https://store-images.s-microsoft.com/image/apps.22433.6ad0c4d1-f823-465d-8959-22534e30dd1d.1371e681-d78e-4fd9-8b17-b393f7767b47.0d715a98-1b6b-4cbe-83ed-962ac36030f4","Build interactive process, hierarchy and network diagrams in Power BI with alert-driven KPIs",,"https://xviz.com/agreement/","False"
"WA104380898","wa104380898","1","Infographic Designer","Microsoft Corporation","powerbivisuals","Power BI visuals",,"CTA_Get","System.Object[]","@{product_mask_2=524288}","@{product_mask_2=524288}","0","1","15","0",,"False","True",,"False",,,,"None",,"System.Object[]",,"4.247","97","3","System.Object[]",,"False","11","0.996","@{TotalRatings=97; AverageRating=4.247; StarsDistribution=; Source=AppSource; OfferId=WA104380898; CreatedAt=5/9/2021 3:00:51 PM}","System.Object[]","@{isMicrosoftManaged=False; isFreemium=False}","DZH318Z09N4S","https://customvisualspackages.powerbi.com/publishedpackages/PBI_CV_73744D90_4DC9_4F18_8BA5_EE8FA5C98035.1.9.700.0.pbiviz","https://customvisualspackages.powerbi.com/publishedpackages/PBI_CV_73744D90_4DC9_4F18_8BA5_EE8FA5C98035.1.9.700.0.pbix","False","System.Object[]","System.Object[]","524288","System.Object[]","33554432","False","https://store-images.s-microsoft.com/image/apps.49509.72fa4c0e-500d-4c06-8e75-7f126ede97ca.b4193d7e-26f0-4b8b-aaff-2aa9e013a004.56a82d76-19a2-43f3-ac7f-8f503bc6ae46","Beautify your reports with easy-to-create infographics",,"https://go.microsoft.com/fwlink/?linkid=2300138","False"
"WA104381651","wa104381651","1","Advance Card","Bhavesh Jadav","bhaveshjadav1759511960","Power BI visuals",,"CTA_Get","System.Object[]","@{product_mask_2=524288}","@{product_mask_2=524288}","0","1","15","0",,"False","True",,"False",,,,"None",,"System.Object[]",,"4.209","67","3","System.Object[]",,"False","11","0.996","@{TotalRatings=67; AverageRating=4.209; StarsDistribution=; Source=AppSource; OfferId=WA104381651; CreatedAt=5/9/2021 2:03:16 PM}","System.Object[]","@{isMicrosoftManaged=False; isFreemium=False}","DZH318Z0B0TT","https://customvisualspackages.powerbi.com/publishedpackages/advanceCardE03760C5AB684758B56AA29F9E6C257B.2.1.1.0.pbiviz","https://customvisualspackages.powerbi.com/publishedpackages/advanceCardE03760C5AB684758B56AA29F9E6C257B.2.1.1.0.pbix","False","System.Object[]","System.Object[]","524288","System.Object[]","4194304","False","https://store-images.s-microsoft.com/image/apps.15948.e51563b0-f277-4790-80e8-fd81db9a2f10.a39652b8-1380-4201-86ad-92bdbabf1fdc.627428d2-991f-402f-a5e2-475cabe8aab1","Advance card visual with more options than default card visual available in Power BI",,"https://visuals.azureedge.net/app-store/Power%20BI%20-%20Default%20Custom%20Visual%20EULA.pdf","False"
"WA104381351","wa104381351","1","Box and Whisker chart by MAQ Software","MAQ LLC","maqsoftware1587623472284","Power BI visuals",,"CTA_Get","System.Object[]","@{product_mask_2=524288}","@{product_mask_2=524288}","0","1","14","0",,"True","True",,"False",,,,"None",,"System.Object[]",,"3.823","62","3","System.Object[]",,"False","11","0.996","@{TotalRatings=62; AverageRating=3.823; StarsDistribution=; Source=AppSource; OfferId=WA104381351; CreatedAt=4/13/2021 5:30:00 PM}","System.Object[]","@{isMicrosoftManaged=False; isFreemium=False}","DZH318Z0B0VS","https://customvisualspackages.powerbi.com/publishedpackages/BoxandWhiskerByMAQ1823AD39DT234AB532063E128AX.4.1.0.1.pbiviz","https://customvisualspackages.powerbi.com/publishedpackages/BoxandWhiskerByMAQ1823AD39DT234AB532063E128AX.4.1.0.1.pbix","False","System.Object[]","System.Object[]","524288","System.Object[]","33554432","False","https://store-images.s-microsoft.com/image/apps.46260.f2bbe1d2-4c52-4456-b59c-b9e177f956e0.b036873a-3c07-4729-b855-761ca15415ed.a83d11db-0d7e-4b54-a53c-a88fbb6855d7","Efficiently analyze and compare data distributions | Power BI Certified",,"https://go.microsoft.com/fwlink/?linkid=2041178","False"
"WA104381835","wa104381835","1","Simple Image","Vincent Faigt","vincentfaigt1179314250","Power BI visuals",,"CTA_Get","System.Object[]","@{product_mask_2=524288}","@{product_mask_2=524288}","0","1","14","0",,"False","True",,"False",,,,"None",,,,"3.625","16","3","System.Object[]",,"False","11","0.996","@{TotalRatings=16; AverageRating=3.625; StarsDistribution=; Source=AppSource; OfferId=WA104381835; CreatedAt=5/9/2021 1:20:13 PM}","System.Object[]","@{isMicrosoftManaged=False; isFreemium=False}","DZH318Z0B0PJ","https://customvisualspackages.powerbi.com/publishedpackages/simpleImageEBC4593F96F1425FB3D84C5BF02B5075.1.0.2.0.pbiviz","https://customvisualspackages.powerbi.com/publishedpackages/simpleImageEBC4593F96F1425FB3D84C5BF02B5075.1.0.2.0.pbix","False","System.Object[]","System.Object[]","524288","System.Object[]","33554432","False","https://store-images.s-microsoft.com/image/apps.14591.3b575b1c-f393-45ff-a8f2-d90926efa688.ca401cb8-63bc-4e9f-8503-b171ebf4bd0a.8a17ac56-3388-4738-b9a7-823aeddfc1e8","A simple visual to display images based on your data. Supports URL or Base64 encoded images.",,"https://go.microsoft.com/fwlink/?linkid=2041178","False"
"xviz.inforiver-charts","xviz.inforiver-charts","1","Inforiver Analytics+ (100+Charts+Cards+Tables)","xViz LLC dba Lumel","xviz","Power BI visuals",,"CTA_Get","System.Object[]","@{product_mask_2=524288}","@{product_mask_2=524288}","0","3","15","0",,"True","True",,"False",,,,"None",,"System.Object[]",,"5","6","3","System.Object[]",,"False","11","0.995","@{TotalRatings=6; AverageRating=5; StarsDistribution=; Source=AppSource; OfferId=xviz.inforiver-charts; CreatedAt=8/9/2022 1:47:22 PM}","System.Object[]","@{isMicrosoftManaged=True; isFreemium=True}","DZH318Z0JQM3","https://customvisualspackages.powerbi.com/publishedpackages/InforiverCharts582F6C55AB6442EF8FA129089285CB47.4.5.0.0.pbiviz","https://customvisualspackages.powerbi.com/publishedpackages/InforiverCharts582F6C55AB6442EF8FA129089285CB47.4.5.0.0.pbix","True","System.Object[]","System.Object[]","524288","System.Object[]","4259840","False","https://store-images.s-microsoft.com/image/apps.42445.615bf362-a011-48a6-92be-50ab7be1804e.f8633f77-1d9b-4ee5-b990-bdd6d028c259.6b786b76-b1b8-48e7-bb3e-6457982671fb","IBCS, 100+ Charts: Waterfall, Bullet, Box Plot, Marimekko, Radar/Polar, Stacked, Combo, Dual Axis",,"https://inforiver.com/agreement/","False"
"WA104381018","wa104381018","1","Scroller","Fredrik Hedenström","fredrikhedenstrm350760812","Power BI visuals",,"CTA_Get","System.Object[]","@{product_mask_2=524288}","@{product_mask_2=524288}","0","1","15","0",,"False","True",,"False",,,,"None",,"System.Object[]",,"4.447","47","3","System.Object[]",,"False","11","0.995","@{TotalRatings=47; AverageRating=4.447; StarsDistribution=; Source=AppSource; OfferId=WA104381018; CreatedAt=5/9/2021 1:04:49 PM}","System.Object[]","@{isMicrosoftManaged=False; isFreemium=False}","DZH318Z0B0WC","https://customvisualspackages.powerbi.com/publishedpackages/ScrollingTextVisual1448795304508.2.0.3.0.pbiviz","https://customvisualspackages.powerbi.com/publishedpackages/ScrollingTextVisual1448795304508.2.0.3.0.pbix","False","System.Object[]","System.Object[]","524288","System.Object[]","2097152","False","https://store-images.s-microsoft.com/image/apps.16769.0dee388e-b513-47f8-80b3-de4e0e41f33f.16ab96c8-7c23-44d5-9c28-3a631c5db6bb.687153c6-6833-4d96-8e7c-3d54b6f27065","Your data gets visualized as an animating scrolling text.",,"https://go.microsoft.com/fwlink/?linkid=2041178","False"
